关系中文名称,关系英文名称,反关系中文名称,反关系英文名称,对象1中文名称,对象1英文名称,对象2中文名称,对象2英文名称
包含,includes,属于,isPartof,降档客户规模,DowngradedCustomerScale,全球通降档一降到底数量,NumberofGoToneFullDowngradeCases
包含,includes,属于,isPartof,降档客户规模,DowngradedCustomerScale,全球通降档一降到底降档率,GoToneFullDowngradeRate
包含,includes,属于,isPartof,降档客户规模,DowngradedCustomerScale,升降档比,UpgradingDowngradingRatio
包含,includes,属于,isPartof,降档客户规模,DowngradedCustomerScale,降档意向客户,CustomerswithDowngradeIntent
包含,includes,属于,isPartof,降档客户规模,DowngradedCustomerScale,降档风险,DowngradeRisk
包含,includes,属于,isPartof,降档客户规模,DowngradedCustomerScale,降档损收,RevenueLossfromDowngrades
包含,includes,属于,isPartof,降档客户收入,DowngradedCustomerRevenue,月均一降到底单客户提升金额,AverageMonthlyRevenueChangeperFullDowngradeCustomer
包含,includes,属于,isPartof,降档客户收入,DowngradedCustomerRevenue,一降到底损收,RevenueLossfromFullDowngrades
包含,includes,属于,isPartof,降档客户收入,DowngradedCustomerRevenue,月均降档单客户提升金额,AverageMonthlyRevenueChangeperDowngradedCustomer
包含,includes,属于,isPartof,降档客户收入,DowngradedCustomerRevenue,降档金额,DowngradeAmount
包含,includes,属于,isPartof,降档客户收入,DowngradedCustomerRevenue,单客容降档金额,MaximumAllowableDowngradeAmountperCustomer
包含,includes,属于,isPartof,客户使用,CustomerUsage,全球通超套客户规模,ScaleofGoToneOverPackageCustomers
包含,includes,属于,isPartof,客户使用,CustomerUsage,手机上网流量份额,MobileDataUsageShare
包含,includes,属于,isPartof,客户使用,CustomerUsage,流量饱和度,DataUsageSaturationRate
包含,includes,属于,isPartof,客户使用,CustomerUsage,超套客户占比,ProportionofOverPackageCustomers
包含,includes,属于,isPartof,客户使用,CustomerUsage,超套风险客户低频高额,HighValueLowFrequencyOverPackageRiskCustomers
包含,includes,属于,isPartof,客户使用,CustomerUsage,超套风险客户高频高额,HighValueHighFrequencyOverPackageRiskCustomers
包含,includes,属于,isPartof,客户使用,CustomerUsage,超套风险客户低频低额,LowValueLowFrequencyOverPackageRiskCustomers
包含,includes,属于,isPartof,客户使用,CustomerUsage,超套风险客户高频低额,LowValueHighFrequencyOverPackageRiskCustomers
包含,includes,属于,isPartof,客户使用,CustomerUsage,超套客户归位策略数量,NumberofOverPackageCustomerReorientationStrategies
包含,includes,属于,isPartof,客户使用,CustomerUsage,超套客户触达量,OverPackageCustomerReachVolume
包含,includes,属于,isPartof,客户使用,CustomerUsage,超套归位主套餐类,MainPackageReorientationforOverPackageCustomers
包含,includes,属于,isPartof,客户使用,CustomerUsage,超套归位流量包类,DataPackageReorientationforOverPackageCustomers
包含,includes,属于,isPartof,客户使用,CustomerUsage,智家办理量,SmartHomeServiceSubscriptionVolume
包含,includes,属于,isPartof,客户使用,CustomerUsage,终端硬件办理量,TerminalHardwareSubscriptionVolume
包含,includes,属于,isPartof,客户使用收入,CustomerUsageRevenue,全球通超套客户ARPU,ARPUofGoToneOverPackageCustomers
包含,includes,属于,isPartof,客户使用收入,CustomerUsageRevenue,全球通超套客户收入占比,ProportionofRevenuefromGoToneOverPackageCustomers
包含,includes,属于,isPartof,宽带客户规模,BroadbandCustomerScale,宽带质量差移机无覆盖等,PoorBroadbandQualityandRelocationWithoutCoverage
包含,includes,属于,isPartof,宽带客户规模,BroadbandCustomerScale,宽带类策略数量,NumberofBroadbandRelatedStrategies
包含,includes,属于,isPartof,宽带客户规模,BroadbandCustomerScale,宽带类触达量,BroadbandRelatedReachVolume
包含,includes,属于,isPartof,宽带客户规模,BroadbandCustomerScale,宽带新增,NewBroadbandSubscriptions
包含,includes,属于,isPartof,宽带客户规模,BroadbandCustomerScale,云宽带,CloudBroadband
包含,includes,属于,isPartof,宽带客户规模,BroadbandCustomerScale,全球通宽带渗透率,GoToneBroadbandPenetrationRate
包含,includes,属于,isPartof,宽带客户规模,BroadbandCustomerScale,固移融合率,FixedMobileConvergenceRate
包含,includes,属于,isPartof,宽带客户规模,BroadbandCustomerScale,存宽迁移客户规模量,ScaleofExistingBroadbandMigrationCustomers
包含,includes,属于,isPartof,宽带客户规模,BroadbandCustomerScale,云宽迁移,CloudBroadbandMigration
包含,includes,属于,isPartof,宽带客户规模,BroadbandCustomerScale,全球通客户宽带客户数,NumberofGlobalSystemBroadbandCustomers
包含,includes,属于,isPartof,宽带客户收入,BroadbandCustomerRevenue,全球通宽带客户ARPU,ARPUofGoToneBroadbandCustomers
包含,includes,属于,isPartof,宽带客户收入,BroadbandCustomerRevenue,全球通宽带客户收入占比,RevenueContributionRateofGlobalSystemBroadbandCustomers
包含,includes,属于,isPartof,客户体验,CustomerExperience,全球通客户满意度,GoToneCustomerSatisfaction
包含,includes,属于,isPartof,客户体验,CustomerExperience,全球通融合客户满意度,GoToneConvergedCustomerSatisfaction
包含,includes,属于,isPartof,客户体验,CustomerExperience,全球通宽带客户满意度,GoToneBroadbandCustomerSatisfaction
包含,includes,属于,isPartof,客户体验,CustomerExperience,全球通宽带大网满意度,GoToneBroadbandNetworkSatisfaction
包含,includes,属于,isPartof,客户体验,CustomerExperience,全球通权益客户满意度,GoToneBenefitCustomerSatisfaction
包含,includes,属于,isPartof,客户体验,CustomerExperience,全球通终端客户满意度,GoToneTerminalCustomerSatisfaction
包含,includes,属于,isPartof,客户体验,CustomerExperience,全球通整体大网满意度,OverallGoToneNetworkSatisfaction
包含,includes,属于,isPartof,客户体验,CustomerExperience,全球通手机满意度,GoToneMobilePhoneSatisfaction
包含,includes,属于,isPartof,客户体验,CustomerExperience,全球通手机上网大网满意度,GoToneMobileDataNetworkSatisfaction
包含,includes,属于,isPartof,客户体验,CustomerExperience,全球通营销宣传满意度,GoToneMarketingandPromotionSatisfaction
包含,includes,属于,isPartof,客户体验,CustomerExperience,全球通营销宣传大网满意度,GoToneMarketingandPromotionNetworkSatisfaction
包含,includes,属于,isPartof,客户体验,CustomerExperience,网络质量不好,PoorNetworkQuality
包含,includes,属于,isPartof,客户体验,CustomerExperience,服务不满,DissatisfactionwithServices
包含,includes,属于,isPartof,客户体验,CustomerExperience,离京出国,DeparturefromBeijing_Abroad
包含,includes,属于,isPartof,总客户规模,TotalCustomerScale,总客户量,TotalCustomerVolume
包含,includes,属于,isPartof,总客户规模,TotalCustomerScale,全球通规模保有率,GlobalSystemRetentionRate
包含,includes,属于,isPartof,总客户规模,TotalCustomerScale,总客户影响,TotalCustomerImpact
包含,includes,属于,isPartof,总客户规模,TotalCustomerScale,全球通总客户数量,TotalGlobalSystemCustomerCount
包含,includes,属于,isPartof,总客户规模,TotalCustomerScale,全球通总客户占比,ProportionofTotalGoToneCustomers
包含,includes,属于,isPartof,总客户规模,TotalCustomerScale,全球通客户流量使用总量,TotalDataUsageofGoToneCustomers
包含,includes,属于,isPartof,新客规模,NewCustomerScale,全球通新客数量,NewGlobalSystemCustomerCount
包含,includes,属于,isPartof,新客规模,NewCustomerScale,全球通新客占比,ProportionofNewGoToneCustomers
包含,includes,属于,isPartof,新客规模,NewCustomerScale,开新降/销/拆旧,NewActivationDowngradeCancellationDisconnectionofOldServices
包含,includes,属于,isPartof,老客规模,ExistingCustomerScale,全球通老客数量,ExistingGlobalSystemCustomerCount
包含,includes,属于,isPartof,老客规模,ExistingCustomerScale,全球通老客占比,ProportionofExistingGoToneCustomers
包含,includes,属于,isPartof,老客规模,ExistingCustomerScale,出账客户到达规模,BillingCustomerReachScale
包含,includes,属于,isPartof,老客规模,ExistingCustomerScale,出账客户净增,NetIncreaseinBillingCustomers
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,全球通宽带潜在客户数,PotentialGlobalSystemBroadbandCustomers
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,全球通宽带潜在客户占比,ProportionofPotentialGoToneBroadbandCustomers
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,新号无宽带客户规模量,ScaleofNewNumberCustomersWithoutBroadband
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,中高饱和无宽带,MediumHighSaturationWithoutBroadband
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,全球通权益潜在客户数,PotentialGlobalSystemPrivilegeCustomers
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,全球通权益潜在客户占比,ProportionofPotentialGoToneBenefitCustomers
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,低饱和无权益,LowSaturationWithoutBenefits
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,全球通终端潜在客户数,PotentialGlobalSystemTerminalCustomers
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,全球通终端潜在客户占比,ProportionofPotentialGoToneTerminalCustomers
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,存号无宽客户规模量,ScaleofRetainedNumberCustomersWithoutBroadband
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,终端换机潜在需求客户,CustomerswithPotentialDemandforTerminalReplacement
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,十年以上网龄客户,CustomerswithMoreThan10YearsofNetworkAge
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,两年以上未换机客户,CustomersWhoHaveNotReplacedTerminalsforMoreThan2Years
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,终端可营销客户,MarketableTerminalCustomers
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,智家硬件偏好需求客户,CustomerswithPreferenceforSmartHomeHardware
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,云电脑偏好客户,CustomerswithPreferenceforCloudComputers
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,安防偏好客户,CustomerswithPreferenceforSecurityProducts
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,网络优化偏好客户,CustomerswithPreferenceforNetworkOptimization
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,门锁类偏好客户,CustomerswithPreferenceforDoorLockProducts
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,康养类偏好客户,CustomerswithPreferenceforHealthCareProducts
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,宠物类需求客户,CustomerswithDemandforPetRelatedProducts
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,热线商机甩单工单数量,NumberofHotlineBusinessOpportunityTransferWorkOrders
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,热线商机甩单处理率,ProcessingRateofHotlineBusinessOpportunityTransfers
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,意图商机识别工单数量,NumberofIntentionalBusinessOpportunityIdentificationWorkOrders
包含,includes,属于,isPartof,潜客规模,PotentialCustomerScale,意图商机识别处理率,ProcessingRateofIntentionalBusinessOpportunityIdentification
包含,includes,属于,isPartof,权益客户规模,PrivilegeCustomerScale,高价值权益发展,DevelopmentofHighValueBenefits
包含,includes,属于,isPartof,权益客户规模,PrivilegeCustomerScale,高价值权益潜在需求客户,CustomerswithPotentialDemandforHighValueBenefits
包含,includes,属于,isPartof,权益客户规模,PrivilegeCustomerScale,99PLUS规模,99PLUSPlanScale
包含,includes,属于,isPartof,权益客户规模,PrivilegeCustomerScale,全球通客户权益融合率,GoToneCustomerBenefitConvergenceRate
包含,includes,属于,isPartof,权益客户规模,PrivilegeCustomerScale,权益渗透率,BenefitPenetrationRate
包含,includes,属于,isPartof,权益客户规模,PrivilegeCustomerScale,权益渗透客户规模,ScaleofBenefitPenetratedCustomers
包含,includes,属于,isPartof,权益客户规模,PrivilegeCustomerScale,全球通权益活跃度,GoToneBenefitActivityRate
包含,includes,属于,isPartof,权益客户规模,PrivilegeCustomerScale,权益活跃客户规模,ScaleofActiveBenefitCustomers
包含,includes,属于,isPartof,权益客户规模,PrivilegeCustomerScale,权益类策略数量,NumberofBenefitRelatedStrategies
包含,includes,属于,isPartof,权益客户规模,PrivilegeCustomerScale,权益类触达量,BenefitRelatedReachVolume
包含,includes,属于,isPartof,权益客户规模,PrivilegeCustomerScale,全球通客户权益客户数,NumberofGlobalSystemPrivilegeCustomers
包含,includes,属于,isPartof,融合客户规模,ConvergedCustomerScale,全球通融合客户规模,GlobalSystemConvergedCustomerScale
包含,includes,属于,isPartof,融合客户规模,ConvergedCustomerScale,全球通融合客户占比,ProportionofGoToneConvergedCustomers
包含,includes,属于,isPartof,融合客户规模,ConvergedCustomerScale,全球通客户宽带客户融合率,GoToneCustomerBroadbandCustomerConvergenceRate
包含,includes,属于,isPartof,融合客户规模,ConvergedCustomerScale,有效融合率,EffectiveConvergenceRate
包含,includes,属于,isPartof,融合客户规模,ConvergedCustomerScale,全球通客户宽移融合率,GoToneCustomerBroadbandMobileConvergenceRate
包含,includes,属于,isPartof,融合客户规模,ConvergedCustomerScale,固移融合资费侵扰,FixedMobileConvergenceTariffIntrusion
包含,includes,属于,isPartof,终端客户规模,TerminalCustomerScale,全球通客户终端客户融合率,GoToneCustomerTerminalCustomerConvergenceRate
包含,includes,属于,isPartof,终端客户规模,TerminalCustomerScale,终端硬件类策略数量,NumberofTerminalHardwareRelatedStrategies
包含,includes,属于,isPartof,终端客户规模,TerminalCustomerScale,终端硬件类触达量,TerminalHardwareRelatedReachVolume
包含,includes,属于,isPartof,终端客户规模,TerminalCustomerScale,终端硬件融合率,TerminalHardwareConvergenceRate
包含,includes,属于,isPartof,终端客户规模,TerminalCustomerScale,全球通客户终端客户数,NumberofGlobalSystemTerminalCustomers
包含,includes,属于,isPartof,偏好客户,PreferenceCustomers,视频偏好客户,CustomerswithPreferenceforVideoServices
包含,includes,属于,isPartof,偏好客户,PreferenceCustomers,音乐偏好客户,CustomerswithPreferenceforMusicServices
包含,includes,属于,isPartof,偏好客户,PreferenceCustomers,餐饮美食偏好客户,CustomerswithPreferenceforCateringandFood
包含,includes,属于,isPartof,偏好客户,PreferenceCustomers,购物商超偏好客户,CustomerswithPreferenceforShoppingMallsandSupermarkets
包含,includes,属于,isPartof,偏好客户,PreferenceCustomers,出行偏好客户,CustomerswithPreferenceforTravelServices
包含,includes,属于,isPartof,偏好客户,PreferenceCustomers,权益未活跃客户,InactiveBenefitCustomers
包含,includes,属于,isPartof,升档客户规模,UpgradedCustomerScale,全球通升档规模,GlobalSystemUpgradeScale
包含,includes,属于,isPartof,升档客户规模,UpgradedCustomerScale,全球通升档率,GoToneUpgradingRate
包含,includes,属于,isPartof,老客留存规模,ExistingCustomerRetentionScale,全球通老客留存数量,NumberofRetainedExistingGoToneCustomers
包含,includes,属于,isPartof,老客留存规模,ExistingCustomerRetentionScale,全球通老客留存占比,ProportionofRetainedExistingGoToneCustomers
包含,includes,属于,isPartof,老客留存规模,ExistingCustomerRetentionScale,通信客户到达规模,CommunicationCustomerReachScale
包含,includes,属于,isPartof,老客留存规模,ExistingCustomerRetentionScale,通信客户净增,NetIncreaseinCommunicationCustomers
包含,includes,属于,isPartof,老客流失规模,ExistingCustomerChurnScale,全球通老客流失数量,ExistingGlobalSystemCustomerChurnCount
包含,includes,属于,isPartof,老客流失规模,ExistingCustomerChurnScale,全球通老客流失占比,ProportionofChurnedExistingGoToneCustomers
包含,includes,属于,isPartof,老客流失规模,ExistingCustomerChurnScale,合约到期反弹,ReboundAfterContractExpiration
包含,includes,属于,isPartof,总收入规模,TotalRevenueScale,总收入,TotalRevenue
包含,includes,属于,isPartof,总收入规模,TotalRevenueScale,收入保有率,RevenueRetentionRate
包含,includes,属于,isPartof,总收入规模,TotalRevenueScale,保拓比,RetentionDevelopmentRatio
包含,includes,属于,isPartof,总收入规模,TotalRevenueScale,总收入影响,TotalRevenueImpact
包含,includes,属于,isPartof,总收入规模,TotalRevenueScale,全球通总收入,TotalGlobalSystemRevenue
包含,includes,属于,isPartof,总收入规模,TotalRevenueScale,全球通总收入占比,ProportionofTotalGoToneRevenue
包含,includes,属于,isPartof,老客收入,ExistingCustomerRevenue,全球通老客户ARPU,ARPUofExistingGoToneCustomers
包含,includes,属于,isPartof,老客收入,ExistingCustomerRevenue,全球通老客户收入占比,RevenueContributionRateofExistingGlobalSystemCustomers
包含,includes,属于,isPartof,老客收入,ExistingCustomerRevenue,出账客户ARPU,ARPUofBillingCustomers
包含,includes,属于,isPartof,老客收入,ExistingCustomerRevenue,出账客户份额,BillingCustomerShare
包含,includes,属于,isPartof,权益客户收入,PrivilegeCustomerRevenue,全球通权益客户ARPU,ARPUofGoToneBenefitCustomers
包含,includes,属于,isPartof,权益客户收入,PrivilegeCustomerRevenue,全球通权益客户收入占比,RevenueContributionRateofGlobalSystemPrivilegeCustomers
包含,includes,属于,isPartof,融合客户收入,ConvergedCustomerRevenue,全球通融合客户ARPU,ARPUofGoToneConvergedCustomers
包含,includes,属于,isPartof,融合客户收入,ConvergedCustomerRevenue,全球通融合客户收入占比,RevenueContributionRateofGlobalSystemConvergedCustomers
包含,includes,属于,isPartof,终端客户收入,TerminalCustomerRevenue,全球通终端客户ARPU,ARPUofGoToneTerminalCustomers
包含,includes,属于,isPartof,终端客户收入,TerminalCustomerRevenue,全球通终端客户收入占比,RevenueContributionRateofGlobalSystemTerminalCustomers
包含,includes,属于,isPartof,升档客户收入,UpgradedCustomerRevenue,月均升档客户提升金额（元）,AverageMonthlyRevenueIncreaseperUpgradedCustomer_RMB
包含,includes,属于,isPartof,老客留存收入,ExistingCustomerRetentionRevenue,全球通老客户留存ARPU,RetainedARPUofExistingGoToneCustomers
包含,includes,属于,isPartof,老客留存收入,ExistingCustomerRetentionRevenue,全球通老客户留存收入占比,ProportionofRetentionRevenuefromExistingGoToneCustomers
包含,includes,属于,isPartof,老客流失收入,ExistingCustomerChurnRevenue,全球通老客流失ARPU,ARPUofChurnedExistingGoToneCustomers
包含,includes,属于,isPartof,老客流失收入,ExistingCustomerChurnRevenue,全球通老客流失收入占比,ProportionofChurnRevenuefromExistingGoToneCustomers
包含,includes,属于,isPartof,携出金额,PortingOutAmount,当月携出单容损失金额,MonthlyPerCustomerRevenueLossfromPortingOut
包含,includes,属于,isPartof,携出金额,PortingOutAmount,全球通携出金额,GlobalPortingOutAmount
包含,includes,属于,isPartof,离网收入影响,RevenueImpactofChurn,当月离网单容损失金额,MonthlyPerCustomerRevenueLossfromChurn
包含,includes,属于,isPartof,流失风险,ChurnRisk,查码工单量,CodeInquiryWorkOrderVolume
包含,includes,属于,isPartof,流失风险,ChurnRisk,接通率,ConnectionRate
包含,includes,属于,isPartof,流失风险,ChurnRisk,及时率,TimelinessRate
包含,includes,属于,isPartof,异网侵扰量,CompetitorInvasionVolume,全球通异网侵扰量,GlobalSystemCompetitorInvasionVolume
包含,includes,属于,isPartof,异网侵扰量,CompetitorInvasionVolume,全球通联通异网侵扰量,GlobalSystemChinaUnicomInvasionVolume
包含,includes,属于,isPartof,异网侵扰量,CompetitorInvasionVolume,全球通电信异网侵扰量,GlobalSystemChinaTelecomInvasionVolume
包含,includes,属于,isPartof,异网侵扰量,CompetitorInvasionVolume,成员资费侵扰,MemberTariffIntrusion
包含,includes,属于,isPartof,异网侵扰量,CompetitorInvasionVolume,终端号卡侵扰,TerminalSIMCardIntrusion
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,终端硬合约规模,TerminalHardContractScale
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,硬合约率,HardContractRate
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,低饱和无硬合约,LowSaturationWithoutHardContracts
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,全球通低饱和客户占比,ProportionofLowSaturationGoToneCustomers
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,大网低饱和客户占比,ProportionofLowSaturationNetworkCustomers
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,低饱和客户群组业务策略数量,NumberofBusinessStrategiesforLowSaturationCustomerGroups
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,低饱和客户触达量,LowSaturationCustomerReachVolume
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,低饱和归位万能副卡,UniversalSecondaryCardReorientationforLowSaturationCustomers
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,低饱和归位爱家产品计划,AijiaProductPlanReorientationforLowSaturationCustomers
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,硬合约客户规模,ScaleofHardContractCustomers
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,中高饱和有宽,MediumHighSaturationwithBroadband
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,中高端客户到达规模,MidtoHighEndCustomerReachScale
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,中高端客户净增,NetIncreaseinMidtoHighEndCustomers
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,FTTR发展到达规模,FTTRDevelopmentReachScale
包含,includes,属于,isPartof,老客留存策略,ExistingCustomerRetentionStrategy,FTTR发展净增,NetIncreaseinFTTRDevelopment
